Time [s],Value,Parity Error,Framing Error
20.731499708333335,85,,
20.731586374999999,15,,
20.731673041666667,4,,
20.731759749999998,162,,
20.731846416666666,3,,
20.731933083333335,11,,
20.732019749999999,81,,
20.732106416666667,0,,
20.732193124999998,128,,
20.732279791666667,14,,
20.732366458333335,2,,
20.732453124999999,0,,
20.732539791666667,1,,
20.732626499999999,110,,
20.732713166666667,24,,
20.732799833333335,85,,
20.732886499999999,17,,
20.732973166666667,4,,
20.733059874999999,146,,
20.733146541666667,3,,
20.733233208333335,11,,
20.733319874999999,82,,
20.733406541666668,0,,
20.733493249999999,128,,
20.733579916666667,14,,
20.733666583333335,34,,
20.733753249999999,0,,
20.733839916666668,0,,
20.733926624999999,136,,
20.734013291666667,19,,
20.734099958333335,97,,
20.734186625000000,230,,
20.752258333333334,85,,
20.752344999999998,15,,
20.752431666666666,4,,
20.752518375000001,162,,
20.752605041666666,3,,
20.752691708333334,11,,
20.752778374999998,0,,
20.752865041666666,0,,
20.752951750000001,128,,
20.753038416666666,13,,
20.753125083333334,2,,
20.753211749999998,0,,
20.753298416666667,0,,
20.753385125000001,48,,
20.753471791666666,193,,
21.431450999999999,85,,
21.431537666666667,17,,
21.431624374999998,4,,
21.431711041666667,146,,
21.431797708333335,4,,
21.431884374999999,11,,
21.431971041666667,22,,
21.432057749999998,113,,
21.432144416666667,32,,
21.432231083333335,13,,
21.432317749999999,2,,
21.432404416666667,0,,
21.432491083333332,0,,
21.432577791666667,0,,
21.432664458333335,1,,
21.432751124999999,42,,
21.432837791666667,110,,
21.451654916666666,85,,
21.451741583333334,17,,
21.451828249999998,4,,
21.451914916666666,146,,
21.452001625000001,3,,
21.452088291666666,11,,
21.452174958333334,198,,
21.452261624999998,35,,
21.452348291666667,32,,
21.452435000000001,13,,
21.452521666666666,3,,
21.452608333333334,1,,
21.452694999999999,0,,
21.452781666666667,0,,
21.452868375000001,0,,
21.452955041666666,124,,
21.453041708333334,32,,
21.731640625000001,85,,
21.731727291666665,17,,
21.731814000000000,4,,
21.731900666666668,146,,
21.731987333333333,3,,
21.732074000000001,11,,
21.732160666666665,86,,
21.732247375000000,0,,
21.732334041666668,128,,
21.732420708333333,14,,
21.732507375000001,34,,
21.732594041666665,0,,
21.732680750000000,0,,
21.732767416666668,136,,
21.732854083333333,19,,
21.732940750000001,132,,
21.733027416666665,217,,
21.751671208333335,85,,
